"seq";"mb_name";"mb_address";"mb_tel";"mb_domain";"mb_longtitude";"mb_latitude"
1;"중구노인복지관";"부산광역시 중구 책방골목길3-1";"051-241-2591";"www.junggusilver.or.kr";"129.026183";"35.10414052"
2;"중구노인복지관분관";"부산광역시 중구 영주로 8-1";"051-462-0316";"www.junggusilver.or.kr";"129.0325002";"35.11016227"
3;"부민노인복지관";"부산광역시 서구 부용로 30";"051-240-3531";"bmsenior.bulgukto.or.kr";"129.0180414";"35.10743629"
4;"서구노인복지관";"부산광역시 서구 장군산로46번길21";"051-240-3541";"www.woorinoin.or.kr";"129.014347";"35.07312369"
5;"동구노인종합복지관";"부산광역시 동구 홍곡중로5번길24";"051-467-7887";"www.hyojason.or.kr";"129.0404219";"35.12580585"
6;"동구분관";"부산광역시 동구 초량남로 12";"051-714-6092";"www.hyojason.or.kr";"129.034846";"35.11956188"
7;"동구자성대노인복지관";"부산광역시 동구 자성로140번길32";"051-632-7597";"silver.bsdonggu.go.kr";"129.0648411";"35.13564405"
8;"영도구노인복지관";"부산광역시 영도구 절영로29번길14";"051-417-6344";"www.youngdosenior.or.kr";"129.0400929";"35.09133006"
9;"영도구노인복지관분관";"부산광역시 영도구 봉래길 372";"051-418-6300";"www.youngdosenior.or.kr";"129.056705";"35.09111411"
10;"부산진구 노인장애인복지관";"부산광역시 부산진구 전포대로300번길 6 585-1";"051-808-8090";"www.onbokji.org";"129.0658484";"35.16404711"
11;"부산진구 노인복지관분관";"부산광역시 부산진구 신암로135번길35";"051-714-6090";"www.onbokji.org";"129.0484094";"35.15146279"
12;"다사랑복합문화예술회관";"부산광역시 부산진구 대학로60";"051-891-1743";"www.다사랑시니어.org";"129.0344581";"35.1504381"
13;"동래구노인복지관";"부산광역시 동래구 명륜로207번길18";"051-554-6252";"www.dnswc.or.kr";"129.0819668";"35.21238058"
14;"남구노인복지관";"부산광역시 남구 못골로 97-10";"051-628-1291";"www.ngswc.or.kr";"129.093257";"35.13618392"
15;"문현노인복지관";"부산광역시 남구 고동골로 11";"051-938-9988";"www.moonsubokji.or.kr";"129.070997";"35.13791"
16;"실버벨노인복지관";"부산광역시 북구 시랑로114번길45";"051-337-5959";"www.실버벨.kr";"129.0086824";"35.19427427"
17;"어진샘노인종합복지관";"부산광역시 해운대구 재반로12번길16";"051-784-8008";"www.ojin.saem.or.kr";"129.1275334";"35.17966779"
18;"장산노인복지관";"부산광역시 해운대구 좌동로 126";"051-704-9141";"www.haeundaejangsan.or.kr";"129.1787854";"35.17384305"
19;"반여분관노인복지관";"부산광역시 해운대구 선수촌로207번길 79";"051-529-9141";"banyeo.haeundaejangsan.or.kr";"129.1221252";"35.21107713"
20;"사하사랑채복지관";"부산광역시 사하구 사리로 35";"051-293-9544";"www.sahasilver.org";"128.9987036";"35.10300921"
21;"사하사랑채노인복지관분관";"부산광역시 사하구 다대로130번길34";"051-207-9544";"www.sahasilver.org";"128.9772442";"35.09159221"
22;"신장림사랑채노인복지관";"부산광역시 다대로 300번길8";"051-266-8515";"www.sjrsilver.or.kr";"128.9761521";"35.0754297"
23;"금정구노인복지관";"부산광역시 금정구 청룡예전로 110";"051-792-7200";"www.geumjeongsilver.kr";"129.0847903";"35.27917441"
24;"강서구노인복지관";"부산광역시 강서구 체육공원로 39";"051-972-4851";"www.gangseosenior.or.kr";"128.9734691";"35.20732663"
25;"가덕도동노인복지관";"부산광역시 강서구 동선길 10";"051-972-0048";"www.mjnoin.ai-sw.net";"128.8316513";"35.05664095"
26;"명지노인종합복지관";"부산광역시 강서구 명지국제13로 33";"051-712-7000";"www.mjnoin.ai-sw.net";"128.922964";"35.110585"
27;"부산광역시노인종합복지관";"부산광역시 연제구 거제천로230번길18";"051-853-1872";"www.youngsilver.or.kr";"129.0821016";"35.19110671"
28;"연제구노인복지관";"부산광역시 연제구 고분로 188";"051-863-9988";"www.yjsilver.kr";"129.1027986";"35.18536723"
29;"수영구노인복지관";"부산광역시 수영구 황령대로 489번길83";"051-759-6070";"6070.bulgukto.or.kr";"129.1111735";"35.14004997"
30;"광안노인복지관";"부산광역시 수영구 장대골로 75-8";"051-715-6099";"6099.bulgukto.or.kr";"129.1048646";"35.15956873"
31;"사상구 노인복지관";"부산광역시 사상구 가야대로 196번길51";"051-325-7555";"www.sasang-senior.kr";"128.9948438";"35.14725485"
32;"사상구노인복지관 분관";"부산광역시 사상구 모라로 91-8";"051-317-7555";"www.sasang-senior.kr";"128.9858423";"35.15976786"
33;"기장군노인복지관";"부산광역시 기장군 기장읍 대청로22번길61";"051-724-3443";"www.nosasa.or.kr";"129.2125973";"35.23509949"
34;"기장군 노인복지관 일광 분관";"부산광역시 기장군 일광면 이천리 930-2";"051-792-4870";"www.nosasa.or.kr";"129.2367325";"35.26753833"
35;"정관노인복지관";"부산광역시 기장군 정관읍 정관중앙로 83-14";"051-792-4920";"www.nosasa.or.kr";"129.179083";"35.32475608"
